wind_direction,wind_speed
199.98755,6.4618416
198.98743,5.187956
174.77061,3.9195595
180.69221,3.233273
212.86754,1.3391554
314.65115,1.6872739
14.365617,1.3165857
33.146107,0.7032825
283.57733,0.8336053
346.2086,2.542586
358.1457,3.3962557
19.004122,3.6254158
23.659025,3.1737046
36.253998,2.1898434
46.77864,2.371399
41.868477,2.8234074
43.79559,2.651095
70.58836,2.7979448
72.921265,2.269951
22.380287,3.0486555
5.128556,3.545888
15.2452345,2.25574
26.282225,1.8075546
61.877502,1.5953963
65.65657,2.2562363
52.10629,2.347749
48.629913,1.7001685
11.417541,1.2447059
29.273438,2.0451796
40.81309,2.336992
37.797916,2.5241416
32.57353,2.8774652
67.53516,4.1653867
70.140114,4.6194715
49.339012,4.65152
40.393475,5.4168534
44.74816,5.6146517
31.106049,4.5225167
68.137955,3.3292809
80.45221,3.2233186
92.13107,4.536492
97.797935,4.441372
102.99839,4.7177434
106.00719,6.5115204
104.92099,8.192727
116.118675,9.594758
112.942505,10.075441
111.35435,10.429758
103.4478,9.323525
89.94767,7.2352066
82.109955,6.845661
142.43726,2.5158036
198.10202,3.0116773
203.32121,7.17202
192.54216,8.158358
193.89162,8.372957
173.99437,6.588144
174.44234,8.597086
180.46986,8.271087
194.51038,9.117563
196.63939,9.867776
197.5165,11.80658
184.99384,8.180283
196.85255,7.582598
185.56902,5.906093
188.34375,6.53156
183.57692,7.1968336
185.32275,5.2707415
189.244,3.1590855
216.12225,3.968823
214.74431,5.1885824
195.69069,5.4194055
189.08739,4.0877237
197.91144,3.3127577
206.5995,4.937785
196.88895,6.1430573
239.59375,5.172081
263.06723,4.3290825
293.41757,2.8910933
338.8158,1.7141656
31.402206,2.216106
47.131035,0.92682326
